Parameter,Value,Description
alphk,0.32,"Capital share (final goods)"
alphm,0.05,"Intermediate input share (final goods)"
alphktil,0.32,"Capital share (commodities)"
del,0.1255,"Depreciation rate"
phi,6,"Capital adjustment cost parameter"
,NaN,""
betta,0.9224,"Discount factor"
gam,2,"Risk aversion coefficient"
theta,1.6,"Disutility of labor (final goods)"
thetatil,1.6,"Disutility of labor (commodities)"
om,1.6,"Inverse Frisch elasticity (final goods)"
omtil,1.6,"Inverse Frisch elasticity (commodities)"
,NaN,""
xi,0.199,"Commodity price effect on interest rate"
psi,2.8,"Debt effect on interest rate"
,NaN,""
gbar,1.0117204,"Average growth rate"
nxtil_share,0.086,"Commodity net exports / GDP"
s_share,0.0938,"Government spending / final output"
tb_share,-0.00041,"Trade balance / GDP"
,NaN,""
rhoa,0.9,"Persistence (final goods productivity)"
rhoatil,0.9,"Persistence (commodity productivity)"
rhog,0.9,"Persistence (growth rate)"
rhos,0.9,"Persistence (government spending)"
rhomu,0.9,"Persistence (interest rate premium)"
rhonu,0.9,"Persistence (discount factor)"
rhoptil1,0.95,"Persistence (commodity price, AR1)"
rhoptil2,-0.13,"Persistence (commodity price, AR2)"
,NaN,""
siga,0.1,"Std dev (final goods productivity shock)"
sigatil,0.1,"Std dev (commodity productivity shock)"
sigg,0.1,"Std dev (growth rate shock)"
sigs,0.1,"Std dev (government spending shock)"
sigmu,0.1,"Std dev (interest rate premium shock)"
signu,0.1,"Std dev (discount factor shock)"
sigptil,0.1064,"Std dev (commodity price shock)"
